"nump","pit","prop","result"
3,7127,0.173,"Strikeout"
4,11242,0.273,"Strikeout"
5,10540,0.256,"Strikeout"
6,7478,0.182,"Strikeout"
7,3035,0.074,"Strikeout"
8,1077,0.026,"Strikeout"
9,431,0.01,"Strikeout"
10,155,0.004,"Strikeout"
11,58,0.001,"Strikeout"
12,21,0.001,"Strikeout"
1,4293,0.166,"Single"
2,5644,0.218,"Single"
3,5035,0.194,"Single"
4,4261,0.165,"Single"
5,3136,0.121,"Single"
6,2147,0.083,"Single"
7,856,0.033,"Single"
8,326,0.013,"Single"
9,129,0.005,"Single"
10,55,0.002,"Single"
11,13,0.001,"Single"
12,4,0,"Single"
1,1387,0.178,"Double"
2,1725,0.222,"Double"
3,1515,0.195,"Double"
4,1136,0.146,"Double"
5,955,0.123,"Double"
6,604,0.078,"Double"
7,251,0.032,"Double"
8,127,0.016,"Double"
9,46,0.006,"Double"
10,12,0.002,"Double"
11,8,0.001,"Double"
12,4,0.001,"Double"
1,115,0.165,"Triple"
2,148,0.212,"Triple"
3,127,0.182,"Triple"
4,112,0.161,"Triple"
5,96,0.138,"Triple"
6,56,0.08,"Triple"
7,27,0.039,"Triple"
8,9,0.013,"Triple"
9,4,0.006,"Triple"
10,1,0.001,"Triple"
11,2,0.003,"Triple"
1,1011,0.185,"Home Run"
2,1177,0.216,"Home Run"
3,1020,0.187,"Home Run"
4,805,0.148,"Home Run"
5,646,0.118,"Home Run"
6,424,0.078,"Home Run"
7,207,0.038,"Home Run"
8,102,0.019,"Home Run"
9,41,0.008,"Home Run"
10,13,0.002,"Home Run"
11,4,0.001,"Home Run"
12,2,0,"Home Run"
4,2540,0.15,"Walk"
5,4264,0.252,"Walk"
6,4546,0.268,"Walk"
7,2232,0.132,"Walk"
8,979,0.058,"Walk"
9,390,0.023,"Walk"
10,148,0.009,"Walk"
11,52,0.003,"Walk"
12,23,0.001,"Walk"
13,5,0,"Walk"
1,14130,0.167,"In Play, Out"
2,18066,0.214,"In Play, Out"
3,16681,0.197,"In Play, Out"
4,13534,0.16,"In Play, Out"
5,10672,0.126,"In Play, Out"
6,6606,0.078,"In Play, Out"
7,2896,0.034,"In Play, Out"
8,1157,0.014,"In Play, Out"
9,470,0.006,"In Play, Out"
10,179,0.002,"In Play, Out"
11,52,0.001,"In Play, Out"
12,23,0,"In Play, Out"
13,8,0,"In Play, Out"
